,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Organic Tomato Sauce'}),frozenset({'100% Recycled Bathroom Tissue'}),0.0013605442176870747,0.0013605442176870747,0.0013605442176870747,1.0,735.0,0.0013586931371187931,inf
1,frozenset({'100% Recycled Bathroom Tissue'}),frozenset({'Organic Tomato Sauce'}),0.0013605442176870747,0.0013605442176870747,0.0013605442176870747,1.0,735.0,0.0013586931371187931,inf
2,"frozenset({'Organic Stage 4 Spinach Mango & Pear Baby Food', 'Pure Water', 'Pineapple Strawberry Sparkling Water'})",frozenset({'Honey Vanilla Greek Yogurt'}),0.0013605442176870747,0.0013605442176870747,0.0013605442176870747,1.0,735.0,0.0013586931371187931,inf
3,"frozenset({'Organic Stage 4 Spinach Mango & Pear Baby Food', 'Pure Water', 'Honey Vanilla Greek Yogurt'})",frozenset({'Pineapple Strawberry Sparkling Water'}),0.0013605442176870747,0.0013605442176870747,0.0013605442176870747,1.0,735.0,0.0013586931371187931,inf
4,"frozenset({'Organic Stage 4 Spinach Mango & Pear Baby Food', 'Pineapple Strawberry Sparkling Water', 'Honey Vanilla Greek Yogurt'})",frozenset({'Pure Water'}),0.0013605442176870747,0.0013605442176870747,0.0013605442176870747,1.0,735.0,0.0013586931371187931,inf
5,"frozenset({'Pure Water', 'Pineapple Strawberry Sparkling Water', 'Honey Vanilla Greek Yogurt'})",frozenset({'Organic Stage 4 Spinach Mango & Pear Baby Food'}),0.0013605442176870747,0.005442176870748299,0.0013605442176870747,1.0,183.75,0.0013531398954139478,inf
6,"frozenset({'Organic Stage 4 Spinach Mango & Pear Baby Food', 'Pure Water'})","frozenset({'Pineapple Strawberry Sparkling Water', 'Honey Vanilla Greek Yogurt'})",0.0013605442176870747,0.0013605442176870747,0.0013605442176870747,1.0,735.0,0.0013586931371187931,inf
7,"frozenset({'Organic Stage 4 Spinach Mango & Pear Baby Food', 'Pineapple Strawberry Sparkling Water'})","frozenset({'Pure Water', 'Honey Vanilla Greek Yogurt'})",0.0013605442176870747,0.0013605442176870747,0.0013605442176870747,1.0,735.0,0.0013586931371187931,inf
8,"frozenset({'Organic Stage 4 Spinach Mango & Pear Baby Food', 'Honey Vanilla Greek Yogurt'})","frozenset({'Pure Water', 'Pineapple Strawberry Sparkling Water'})",0.0013605442176870747,0.0013605442176870747,0.0013605442176870747,1.0,735.0,0.0013586931371187931,inf
9,"frozenset({'Pure Water', 'Pineapple Strawberry Sparkling Water'})","frozenset({'Organic Stage 4 Spinach Mango & Pear Baby Food', 'Honey Vanilla Greek Yogurt'})",0.0013605442176870747,0.0013605442176870747,0.0013605442176870747,1.0,735.0,0.0013586931371187931,inf
