,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Chocolate Whole Grain Graham Snacks Bunny Grahams'}),frozenset({'Organic Baby Spinach'}),0.0011123470522803114,0.00778642936596218,0.0011123470522803114,1.0,128.42857142857144,0.0011036858405272945,inf
1,"frozenset({'Organic Baby Spinach', 'Organic Beef Hot Dogs'})",frozenset({'Chocolate Whole Grain Graham Snacks Bunny Grahams'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
2,"frozenset({'Organic Baby Spinach', 'Chocolate Whole Grain Graham Snacks Bunny Grahams'})",frozenset({'Organic Beef Hot Dogs'}),0.0011123470522803114,0.0033370411568409346,0.0011123470522803114,1.0,299.66666666666663,0.0011086351043861613,inf
3,"frozenset({'Chocolate Whole Grain Graham Snacks Bunny Grahams', 'Organic Beef Hot Dogs'})",frozenset({'Organic Baby Spinach'}),0.0011123470522803114,0.00778642936596218,0.0011123470522803114,1.0,128.42857142857144,0.0011036858405272945,inf
4,frozenset({'Chocolate Whole Grain Graham Snacks Bunny Grahams'}),"frozenset({'Organic Baby Spinach', 'Organic Beef Hot Dogs'})",0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
5,frozenset({'Instant Oatmeal Variety Pack'}),frozenset({'Regular Cream Cheese Spread'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
6,frozenset({'Regular Cream Cheese Spread'}),frozenset({'Instant Oatmeal Variety Pack'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
8,frozenset({'Organic Strawana Probugs Kefir'}),frozenset({'Guacamole Singles'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
9,frozenset({'Guacamole Singles'}),frozenset({'Organic Strawana Probugs Kefir'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
10,frozenset({'Whole Milk Greek Blended Vanilla Bean Yogurt'}),frozenset({'Fat Free Strawberry Yogurt'}),0.0011123470522803114,0.0033370411568409346,0.0011123470522803114,1.0,299.66666666666663,0.0011086351043861613,inf
11,frozenset({'Cheez-It Packs'}),frozenset({'Mixed Nuts Lightly Salted'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
12,frozenset({'Mixed Nuts Lightly Salted'}),frozenset({'Cheez-It Packs'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
14,frozenset({'High Pulp Orange Juice'}),frozenset({'Dark Magic Extra Bold Dark Roast Coffee K Cups'}),0.0011123470522803114,0.002224694104560623,0.0011123470522803114,1.0,449.5,0.001109872420350878,inf
15,frozenset({'Pure Coconut Water'}),frozenset({'Bag of Organic Bananas'}),0.0011123470522803114,0.013348164627363738,0.0011123470522803114,1.0,74.91666666666666,0.001097499260703711,inf
16,frozenset({'Tasty Chicken Flavor Treats for Cat'}),frozenset({'VitaminWater Zero™ XXX Acai Blueberry Pomegranate'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
17,frozenset({'VitaminWater Zero™ XXX Acai Blueberry Pomegranate'}),frozenset({'Tasty Chicken Flavor Treats for Cat'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
20,frozenset({'Beyond Beef Fiesty Crumble'}),frozenset({'Ancient Grain Blueberry Hemp Granola'}),0.0011123470522803114,0.002224694104560623,0.0011123470522803114,1.0,449.5,0.001109872420350878,inf
21,frozenset({'Ultimate Flora Critical Care 50 Billion'}),frozenset({'Apple Honeycrisp Organic'}),0.0011123470522803114,0.008898776418242492,0.0011123470522803114,1.0,112.375,0.0011024485245625778,inf
23,frozenset({'Fresh CA Grown Eggs'}),frozenset({'Garden Salad Mix'}),0.0011123470522803114,0.002224694104560623,0.0011123470522803114,1.0,449.5,0.001109872420350878,inf
24,frozenset({'Fresh CA Grown Eggs'}),frozenset({'CleanCare 1-Ply Double Rolls Toilet Paper'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
25,frozenset({'CleanCare 1-Ply Double Rolls Toilet Paper'}),frozenset({'Fresh CA Grown Eggs'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
27,frozenset({'CleanCare 1-Ply Double Rolls Toilet Paper'}),frozenset({'Garden Salad Mix'}),0.0011123470522803114,0.002224694104560623,0.0011123470522803114,1.0,449.5,0.001109872420350878,inf
28,"frozenset({'Garden Salad Mix', 'Fresh CA Grown Eggs'})",frozenset({'CleanCare 1-Ply Double Rolls Toilet Paper'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
29,"frozenset({'Garden Salad Mix', 'CleanCare 1-Ply Double Rolls Toilet Paper'})",frozenset({'Fresh CA Grown Eggs'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
30,"frozenset({'Fresh CA Grown Eggs', 'CleanCare 1-Ply Double Rolls Toilet Paper'})",frozenset({'Garden Salad Mix'}),0.0011123470522803114,0.002224694104560623,0.0011123470522803114,1.0,449.5,0.001109872420350878,inf
32,frozenset({'Fresh CA Grown Eggs'}),"frozenset({'Garden Salad Mix', 'CleanCare 1-Ply Double Rolls Toilet Paper'})",0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
33,frozenset({'CleanCare 1-Ply Double Rolls Toilet Paper'}),"frozenset({'Garden Salad Mix', 'Fresh CA Grown Eggs'})",0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
34,frozenset({'Vanilla Almond Breeze Almond Milk'}),frozenset({'Organic Blackberries'}),0.0011123470522803114,0.0033370411568409346,0.0011123470522803114,1.0,299.66666666666663,0.0011086351043861613,inf
35,frozenset({'Vanilla Almond Breeze Almond Milk'}),frozenset({'Half & Half'}),0.0011123470522803114,0.004449388209121246,0.0011123470522803114,1.0,224.75,0.0011073977884214446,inf
36,"frozenset({'Vanilla Almond Breeze Almond Milk', 'Organic Blackberries'})",frozenset({'Half & Half'}),0.0011123470522803114,0.004449388209121246,0.0011123470522803114,1.0,224.75,0.0011073977884214446,inf
37,"frozenset({'Vanilla Almond Breeze Almond Milk', 'Half & Half'})",frozenset({'Organic Blackberries'}),0.0011123470522803114,0.0033370411568409346,0.0011123470522803114,1.0,299.66666666666663,0.0011086351043861613,inf
38,"frozenset({'Organic Blackberries', 'Half & Half'})",frozenset({'Vanilla Almond Breeze Almond Milk'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
39,frozenset({'Vanilla Almond Breeze Almond Milk'}),"frozenset({'Organic Blackberries', 'Half & Half'})",0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
40,frozenset({'Chocolate Whole Grain Graham Snacks Bunny Grahams'}),frozenset({'Organic Beef Hot Dogs'}),0.0011123470522803114,0.0033370411568409346,0.0011123470522803114,1.0,299.66666666666663,0.0011086351043861613,inf
41,frozenset({'Roasted Green Chile & Jack Cheese Tamales'}),frozenset({'Chicken Ceasar Wrap'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
42,frozenset({'Chicken Ceasar Wrap'}),frozenset({'Roasted Green Chile & Jack Cheese Tamales'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
43,frozenset({'Frozen Mango Chunks'}),frozenset({'Quinoa'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
44,frozenset({'Quinoa'}),frozenset({'Frozen Mango Chunks'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
45,frozenset({'Greek 0% Fat Strawberry on the Bottom Yogurt'}),frozenset({'Goodness Grapeness Organic Juice Drink'}),0.0011123470522803114,0.0033370411568409346,0.0011123470522803114,1.0,299.66666666666663,0.0011086351043861613,inf
46,frozenset({'Coconut Sparkling Water'}),frozenset({'Everything Bagels'}),0.0011123470522803114,0.002224694104560623,0.0011123470522803114,1.0,449.5,0.001109872420350878,inf
48,frozenset({'Chicken & Apple Smoked Chicken Sausage'}),frozenset({'Chicken & Apple Breakfast Sausage'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
49,frozenset({'Chicken & Apple Breakfast Sausage'}),frozenset({'Chicken & Apple Smoked Chicken Sausage'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
50,frozenset({'Snack Sticks Medium Cheddar'}),frozenset({'Plastic Wrap'}),0.0011123470522803114,0.0011123470522803114,0.0011123470522803114,1.0,899.0,0.0011111097363155947,inf
