,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Comforting Chamomile Tea'}),frozenset({'Unsweetened Vanilla Almond Milk'}),0.0010638297872340426,0.002127659574468085,0.0010638297872340426,1.0,470.0,0.0010615663196016298,inf
2,frozenset({'Organic Baby Kale'}),"frozenset({'Clementines, Bag'})",0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
3,"frozenset({'Clementines, Bag'})",frozenset({'Organic Baby Kale'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
4,frozenset({'Organic Carrot Bunch'}),frozenset({'Whole Hearts of Palm'}),0.0010638297872340426,0.002127659574468085,0.0010638297872340426,1.0,470.0,0.0010615663196016298,inf
6,frozenset({'Tuscan Kale & Quinoa Salad'}),frozenset({'Whole Castelvetrano Olives'}),0.0010638297872340426,0.002127659574468085,0.0010638297872340426,1.0,470.0,0.0010615663196016298,inf
8,frozenset({'Pure Vanilla Extract'}),frozenset({'Light Sour Cream'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
9,frozenset({'Light Sour Cream'}),frozenset({'Pure Vanilla Extract'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
10,frozenset({'Sliced Prosciutto'}),frozenset({'Orange Bell Pepper'}),0.0010638297872340426,0.00425531914893617,0.0010638297872340426,1.0,235.0,0.0010593028519692168,inf
11,frozenset({'Organic Bell Pepper'}),frozenset({'Almond Butter'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
12,frozenset({'Almond Butter'}),frozenset({'Organic Bell Pepper'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
13,frozenset({'Fully Cooked Black-Eyed Peas'}),frozenset({'Organic Chia Seeds'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
14,frozenset({'Organic Chia Seeds'}),frozenset({'Fully Cooked Black-Eyed Peas'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
15,frozenset({'Gluten Free Linguini'}),frozenset({'Organic Broccoli'}),0.0010638297872340426,0.0031914893617021275,0.0010638297872340426,1.0,313.33333333333337,0.0010604345857854233,inf
16,frozenset({'Pure Sparkling Water'}),frozenset({'Organic Black Beans'}),0.0010638297872340426,0.0031914893617021275,0.0010638297872340426,1.0,313.33333333333337,0.0010604345857854233,inf
17,frozenset({'Vanilla Blueberry Clusters With Flax Seeds Granola'}),frozenset({'Green Bell Pepper'}),0.0010638297872340426,0.00425531914893617,0.0010638297872340426,1.0,235.0,0.0010593028519692168,inf
19,frozenset({'Voila! Frozen Garlic Chicken Dinner'}),frozenset({'Grape Tomatoes'}),0.0010638297872340426,0.002127659574468085,0.0010638297872340426,1.0,470.0,0.0010615663196016298,inf
20,frozenset({'Organic Italian Salad'}),frozenset({'Bag of Organic Bananas'}),0.0010638297872340426,0.00851063829787234,0.0010638297872340426,1.0,117.5,0.0010547759167043912,inf
21,frozenset({'Beast Burger'}),frozenset({'Irresistible Dairy Free Slices Provolone Style Cheese Alternative'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
22,frozenset({'Irresistible Dairy Free Slices Provolone Style Cheese Alternative'}),frozenset({'Beast Burger'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
23,frozenset({'Ataulfo Mango'}),frozenset({'Strawberries'}),0.0010638297872340426,0.002127659574468085,0.0010638297872340426,1.0,470.0,0.0010615663196016298,inf
25,frozenset({'Organic Whole Milk French Vanilla Yogurt'}),frozenset({'Banana'}),0.0010638297872340426,0.014893617021276596,0.0010638297872340426,1.0,67.14285714285714,0.0010479855138071526,inf
26,frozenset({'Feta Cheese Crumbles'}),frozenset({'Peter Rabbit Organic Pea Spinach & Apple Puree Snack'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
27,frozenset({'Peter Rabbit Organic Pea Spinach & Apple Puree Snack'}),frozenset({'Feta Cheese Crumbles'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
28,frozenset({'Thick Medium Cheddar Slices'}),frozenset({'Orange Bell Pepper'}),0.0010638297872340426,0.00425531914893617,0.0010638297872340426,1.0,235.0,0.0010593028519692168,inf
29,frozenset({'Organic Apple Juice'}),frozenset({'Pineapple'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
30,frozenset({'Pineapple'}),frozenset({'Organic Apple Juice'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
31,"frozenset({'Organic Sparkling Cider', 'Cacao Almond Milk'})",frozenset({'Organic Thyme'}),0.0010638297872340426,0.002127659574468085,0.0010638297872340426,1.0,470.0,0.0010615663196016298,inf
